Dati ricevuti: {'cpu_usage': 25.5, 'memory': 60.3, 'disk': 70.1, 'system': 'Windows', 'node': 'Client-PC', 'release': '10', 'version': '10.0.19041'}
Dati ricevuti: {'cpu_usage': 0.8, 'memory': 25.3, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 23.8, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 24.0, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 23.9, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.2, 'memory': 24.1, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 25.9, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 25.2, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.0, 'memory': 25.2, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 25.2, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 25.2, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.6, 'memory': 25.1, 'disk': 48.1, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 25.1, 'disk': 48.1, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 25.1, 'disk': 48.1, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
